ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
2000-02-24 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.5,4.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-24 20:57:00,7717.0
2000-02-25 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.1,1.1,-3.5,-2.4,6,6,6,6,NA,NA,NA,NA,2000-02-25 08:56:00,6998.0
2000-02-25 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.3,3.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-25 20:54:00,6280.0
2000-02-26 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.5,1.5,-1.6,-1.4,6,6,6,6,NA,NA,NA,NA,2000-02-26 08:58:00,5556.0
2000-02-26 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.9,3.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-26 20:54:00,4840.0
2000-02-27 09:00:00,DCNN,2423,12,1,NCM,384,1011,10.0,7.3,5.2,5.8,6,6,6,6,NA,NA,NA,NA,2000-02-27 09:01:00,4114.0
2000-02-27 21:00:00,DCNN,2423,12,1,NCM,384,1011,11.7,6.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-27 21:01:00,3394.0
2000-02-28 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.5,2.5,1.2,1.6,6,6,6,6,NA,NA,NA,NA,2000-02-28 08:57:00,12740.0
2000-02-28 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.4,3.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-28 20:57:00,12020.0
2000-02-29 09:00:00,DCNN,2423,12,1,NCM,384,1011,7.0,1.8,-1.0,-0.2,6,6,6,6,NA,NA,NA,NA,2000-02-29 12:09:00,11108.0
2000-02-29 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.9,4.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-02-29 20:53:00,10584.0
2000-03-01 09:00:00,DCNN,2423,12,1,NCM,384,1011,5.1,1.9,-1.5,-1.4,6,6,6,6,NA,NA,NA,NA,2000-03-01 08:56:00,9861.0
2000-03-01 21:00:00,DCNN,2423,12,1,NCM,384,1011,7.7,1.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-01 20:54:00,9143.0
2000-03-02 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.6,1.0,-3.7,-2.3,6,6,6,6,NA,NA,NA,NA,2000-03-02 09:00:00,8417.0
2000-03-02 21:00:00,DCNN,2423,12,1,NCM,384,1011,10.4,4.5,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-02 20:58:00,7699.0
2000-03-03 09:00:00,DCNN,2423,12,1,NCM,384,1011,11.1,3.9,0.3,0.8,6,6,6,6,NA,NA,NA,NA,2000-03-03 08:57:00,6980.0
2000-03-03 21:00:00,DCNN,2423,12,1,NCM,384,1011,7.8,1.5,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-03 20:57:00,6260.0
2000-03-04 09:00:00,DCNN,2423,12,1,NCM,384,1011,2.0,-1.8,-5.8,-4.6,6,6,6,6,NA,NA,NA,NA,2000-03-04 08:57:00,5540.0
2000-03-04 21:00:00,DCNN,2423,12,1,NCM,384,1011,6.6,1.0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-04 20:56:00,4821.0
2000-03-05 09:00:00,DCNN,2423,12,1,NCM,384,1011,2.5,-0.4,-4.8,-3.3,6,6,6,6,NA,NA,NA,NA,2000-03-05 09:01:00,4096.0
2000-03-05 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.4,1.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-05 20:53:00,3384.0
2000-03-06 09:00:00,DCNN,2423,12,1,NCM,384,1011,9.2,4.5,1.2,1.9,6,6,6,6,NA,NA,NA,NA,2000-03-06 09:01:00,12726.0
2000-03-06 21:00:00,DCNN,2423,12,1,NCM,384,1011,14.1,9.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-06 20:56:00,12011.0
2000-03-07 09:00:00,DCNN,2423,12,1,NCM,384,1011,11.1,8.1,4.4,4.9,6,6,6,6,NA,NA,NA,NA,2000-03-07 08:59:00,11288.0
2000-03-07 21:00:00,DCNN,2423,12,1,NCM,384,1011,12.5,10.1,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-07 20:56:00,10571.0
2000-03-08 09:00:00,DCNN,2423,12,1,NCM,384,1011,12.5,11.1,9.3,8.8,6,6,6,6,NA,NA,NA,NA,2000-03-08 08:58:00,9849.0
2000-03-08 21:00:00,DCNN,2423,12,1,NCM,384,1011,14.9,12.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-08 20:56:00,9131.0
2000-03-09 09:00:00,DCNN,2423,12,1,NCM,384,1011,13.8,11.5,9.5,8.7,6,6,6,6,NA,NA,NA,NA,2000-03-09 08:59:00,8408.0
2000-03-09 21:00:00,DCNN,2423,12,1,NCM,384,1011,12.4,9.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-09 20:58:00,7689.0
2000-03-10 09:00:00,DCNN,2423,12,1,NCM,384,1011,10.0,7.6,4.4,5.0,6,6,6,6,NA,NA,NA,NA,2000-03-10 09:04:00,6963.0
2000-03-10 21:00:00,DCNN,2423,12,1,NCM,384,1011,11.5,9.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-10 20:53:00,6254.0
2000-03-11 09:00:00,DCNN,2423,12,1,NCM,384,1011,10.9,7.9,5.7,6.1,6,6,6,6,NA,NA,NA,NA,2000-03-11 08:57:00,5530.0
2000-03-11 21:00:00,DCNN,2423,12,1,NCM,384,1011,12.6,6.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-11 20:51:00,4816.0
2000-03-12 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.7,2.2,-1.9,0.0,6,6,6,6,NA,NA,NA,NA,2000-03-12 08:59:00,4432.0
2000-03-12 21:00:00,DCNN,2423,12,1,NCM,384,1011,14.0,5.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-12 20:54:00,3717.0
2000-03-13 09:00:00,DCNN,2423,12,1,NCM,384,1011,9.9,4.8,-0.8,3.3,6,6,6,6,NA,NA,NA,NA,2000-03-13 08:57:00,12835.0
2000-03-13 21:00:00,DCNN,2423,12,1,NCM,384,1011,13.2,9.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-13 20:54:00,12118.0
2000-03-14 09:00:00,DCNN,2423,12,1,NCM,384,1011,12.6,8.2,6.9,7.1,6,6,6,6,NA,NA,NA,NA,2000-03-14 08:57:00,11395.0
2000-03-14 21:00:00,DCNN,2423,12,1,NCM,384,1011,10.0,4.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-03-14 20:54:00,10678.0
